Service,Category,Slug,Sides,Color,Qty,PRICE,NET PRICE,VAT,Price +VAT
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Single Sided (S/S),,100,0.22,22.00,4.40,26.40
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Single Sided (S/S),,250,0.17,42.50,8.50,51.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Single Sided (S/S),,500,0.15,75.00,15.00,90.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Single Sided (S/S),,1000,0.12,120.00,24.00,144.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Single Sided (S/S),,2500,0.10,250.00,50.00,300.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Single Sided (S/S),,5000,0.05,250.00,50.00,300.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Double Sided (D/S),,100,0.30,30.00,6.00,36.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Double Sided (D/S),,250,0.24,60.00,12.00,72.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Double Sided (D/S),,500,0.20,100.00,20.00,120.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Double Sided (D/S),,1000,0.16,160.00,32.00,192.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Double Sided (D/S),,2500,0.13,325.00,65.00,390.00
DIGITAL BUSINESS CARDS,Business Stationery,digital-business-cards,Double Sided (D/S),,5000,0.07,350.00,70.00,420.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color,100,0.30,30.00,6.00,36.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color,250,0.24,60.00,12.00,72.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color,500,0.20,100.00,20.00,120.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color,1000,0.16,160.00,32.00,192.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color,2500,0.13,325.00,65.00,390.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color,5000,0.07,350.00,70.00,420.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),BW,100,0.20,20.00,4.00,24.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),BW,250,0.16,40.00,8.00,48.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),BW,500,0.13,65.00,13.00,78.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),BW,1000,0.10,100.00,20.00,120.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),BW,2500,0.08,200.00,40.00,240.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),BW,5000,0.05,250.00,50.00,300.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color+BW,100,0.25,25.00,5.00,30.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color+BW,250,0.20,50.00,10.00,60.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color+BW,500,0.17,85.00,17.00,102.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color+BW,1000,0.14,140.00,28.00,168.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color+BW,2500,0.11,275.00,55.00,330.00
APPOINTMENT CARDS,Business Stationery,appointment-cards,Double Sided (D/S),Color+BW,5000,0.06,300.00,60.00,360.00