,,
1,Business Stationery,Letterheads
,,Certificates
,,Compliment slips
,,Business cars
,,Appointments cards
,,Loyalty cards
,,NCR PADS of 50 A4 triple
,,Overprint envelopes BW
,,Membership cards
2,Advertising,Flyers
,,Leaflets Printing
,,Posters
3, Lage Format Printing,Drawing Printing
,,Poster printing
4,Menu printing,Waterproof Menu
,,Flat restaurant menu 
,,Folded restaurant menu 
,,Placemat menu
,,Takeaway Menu
5,Photocopying ,BW
,,Colour
6,Booklet printing,A6-A4
7,Events Printing,Wedding Stationery
,,Order of cervice
,,Poster printing
,,Invitations
,,Place cars
,,"""Thank you"" cards"
8,"Seasonal Printing",Greetings cards prinying
,,Postcards
,,Wrapping Paper
,,Calendar
9,Lamitaning,A5-A1
10,Print Finishing Services,Binding
,,Hole punching
,,Perforating
,,Rounding corners
,,Glueing
,,Folding
,,Stapling